	tg_avg_paris	tg_anomalies_paris	tg_avg_freiburg	tg_anomalies_freiburg	tg_avg_oslo	tg_anomalies_oslo
1954-11-15	8.08	0.19	5.02	0.63	1.0799999	0.06
1954-12-16	6.7799997	1.54	2.75	1.27	0.02	2.58
1955-01-16	4.18	-0.29	0.22	-0.22999999	-4.52	-0.59999996
1955-02-14	3.8899998999999994	-1.38	0.06	-1.27	-6.04	-2.3999999
1955-03-16	4.71	-3.56	1.55	-3.1899998	-1.66	-1.66
1955-04-15	11.29	0.24	7.509999799999999	-0.71999997	2.96	-1.88
1955-05-16	12.96	-1.75	10.65	-1.91	7.8199997	-2.85
1955-06-15	17.119999	-0.71999997	14.799999	-1.12	13.7	-1.06
1955-07-16	19.939999	0.02	16.81	-1.0799999	21.01	4.33
1955-08-16	19.63	0.07	15.98	-1.28	18.85	3.3999998999999996
1955-09-15	16.039998999999998	-0.59999996	12.61	-1.2099999	12.53	1.4
1955-10-16	10.46	-2.18	7.04	-2.32	5.52	-0.56
1955-11-15	7.21	-0.68	2.3	-2.09	1.18	0.16
1955-12-16	6.72	1.48	3.6799998	2.2	-5.22	-2.6599998
1956-01-16	4.44	-0.03	1.68	1.23	-6.89	-2.97
1956-02-15	-3.57	-8.84	-10.059999000000001	-11.389999000000001	-7.8799996	-4.24
1956-03-16	7.97	-0.29999998	3.48	-1.26	-1.1899998999999999	-1.1899998999999999
1956-04-15	8.9	-2.1499999	5.87	-2.36	4.0699997	-0.77
1956-05-16	15.219999	0.51	12.44	-0.12	10.84	0.17
1956-06-15	14.66	-3.1799998	12.75	-3.1699998	13.54	-1.22
1956-07-16	18.44	-1.48	16.33	-1.56	16.58	-0.09999999400000001
1956-08-16	16.3	-3.26	14.12	-3.1399999	12.929999	-2.52
1956-09-15	17.48	0.84	14.08	0.26	10.71	-0.42
1956-10-16	11.2	-1.4399998999999999	7.25	-2.11	5.72	-0.35999998
1956-11-15	5.75	-2.1399999	1.5899999	-2.8	-1.23	-2.25
1956-12-16	6.43	1.1899998999999999	1.3199999	-0.16	-0.95	1.61
1957-01-16	3.5	-0.96999997	-1.2099999	-1.66	-2.12	1.8
1957-02-14	7.79	2.52	4.31	2.98	-3.12	0.52
1957-03-16	10.929999	2.6599998	7.73	2.99	-0.97999996	-0.97999996
1957-04-15	10.45	-0.59999996	7.87	-0.35999998	4.6	-0.24
1957-05-16	12.059999000000001	-2.6499999	9.45	-3.11	8.71	-1.9599999
1957-06-15	18.449999	0.61	15.889999	-0.03	13.46	-1.3
1957-07-16	19.689999	-0.22999999	17.07	-0.82	16.91	0.22999999
1957-08-16	17.8	-1.76	14.95	-2.31	14.929998999999999	-0.52
1957-09-15	15.349998999999999	-1.29	12.54	-1.28	9.57	-1.56
1957-10-16	11.969999000000001	-0.66999996	8.15	-1.2099999	6.06	-0.02
1957-11-15	7.0899997	-0.79999995	3.6399998999999994	-0.75	0.81	-0.21
1957-12-16	3.9099998	-1.3299999	-0.089999996	-1.5699999	-2.01	0.55
1958-01-16	4.5299997	0.06	0.17999999	-0.26999998	-4.7999997	-0.88
1958-02-14	6.6299996	1.36	3.52	2.19	-7.64	-4.0
1958-03-16	5.27	-3.0	0.68	-4.06	-3.6899998	-3.6899998
1958-04-15	8.82	-2.23	5.2599998	-2.97	2.8799999	-1.9599999
1958-05-16	14.849998999999999	0.14	14.07	1.51	8.48	-2.19
1958-06-15	16.43	-1.41	14.549999	-1.37	14.53	-0.22999999
1958-07-16	18.8	-1.12	17.369999	-0.52	16.619999	-0.06
1958-08-16	18.949999	-0.61	17.26	0.0	14.509998999999999	-0.94
1958-09-15	17.859999	1.22	15.139999	1.3199999	12.41	1.28
1958-10-16	12.099999	-0.53999996	8.3	-1.06	7.89	1.81
1958-11-15	6.54	-1.35	3.47	-0.91999996	1.79	0.77
1958-12-16	5.79	0.55	2.4099998	0.93	-3.78	-1.22
1959-01-16	3.54	-0.93	-0.03	-0.48	-6.62	-2.7
1959-02-14	4.47	-0.79999995	1.2099999	-0.12	-2.8799999	0.76
1959-03-16	9.389999000000001	1.12	7.0	2.26	1.0799999	1.0799999
1959-04-15	11.559999000000001	0.51	9.23	1.0	5.18	0.34
1959-05-16	15.46	0.75	12.94	0.38	11.7	1.03
1959-06-15	18.57	0.72999996	15.92	0.0	15.309999	0.55
1959-07-16	21.72	1.8	19.75	1.86	18.24	1.56
1959-08-16	19.97	0.41	17.05	-0.21	17.6	2.1499999
1959-09-15	18.83	2.19	15.139999	1.3199999	12.42	1.29
1959-10-16	13.509998999999999	0.87	8.73	-0.63	6.12	0.04
1959-11-15	7.3799996	-0.51	2.97	-1.42	2.82	1.8
1959-12-16	6.5499997	1.31	2.9199998	1.4399998999999999	-1.23	1.3299999
1960-01-16	4.42	-0.049999997000000004	0.42	-0.03	-4.16	-0.24
1960-02-15	5.43	0.16	2.48	1.15	-6.7	-3.06
1960-03-16	9.21	0.94	5.73	0.98999995	0.72999996	0.72999996
1960-04-15	10.87	-0.17999999	7.81	-0.42	4.93	0.089999996
1960-05-16	15.94	1.23	13.44	0.88	12.05	1.38
1960-06-15	18.3	0.45999998	16.52	0.59999996	15.86	1.1
1960-07-16	17.369999	-2.55	14.87	-3.02	14.65	-2.03
1960-08-16	17.88	-1.68	16.24	-1.02	14.7	-0.75
1960-09-15	15.08	-1.56	11.82	-2.0	11.01	-0.12
1960-10-16	11.929999	-0.71	8.71	-0.65	3.87	-2.21
1960-11-15	9.269999499999999	1.38	6.35	1.9599999	0.53	-0.48999998
1960-12-16	3.9199998	-1.3199999	0.47	-1.01	-1.6899998999999999	0.87
1961-01-16	3.97	-0.5	0.53999996	0.089999996	-5.14	-1.22
1961-02-14	8.95	3.6799998	5.44	4.11	-1.88	1.76
1961-03-16	9.849999	1.5799999	6.45	1.7099999	2.87	2.87
1961-04-15	13.53	2.48	10.86	2.6299999	5.48	0.64
1961-05-16	13.37	-1.3399999	10.76	-1.8	10.33	-0.34
1961-06-15	17.57	-0.26999998	15.86	-0.06	15.29	0.53
1961-07-16	18.34	-1.5799999	15.969999	-1.92	15.94	-0.74
1961-08-16	19.039998999999998	-0.52	16.27	-0.98999995	13.799999	-1.65
1961-09-15	19.67	3.03	17.52	3.6999998	12.16	1.03
1961-10-16	12.7	0.06	10.3	0.94	9.37	3.29
1961-11-15	6.75	-1.14	3.35	-1.04	1.68	0.65999997
1961-12-16	4.75	-0.48999998	1.51	0.03	-5.77	-3.21
1962-01-16	5.7	1.23	1.9799999	1.53	-2.87	1.05
1962-02-14	4.74	-0.53	0.11	-1.22	-1.38	2.26
1962-03-16	4.47	-3.8	0.79999995	-3.9399998	-4.47	-4.47
1962-04-15	10.07	-0.97999996	7.91	-0.32	4.2799997	-0.56
1962-05-16	12.389999000000001	-2.32	10.26	-2.3	7.97	-2.7
1962-06-15	16.57	-1.27	15.07	-0.84999996	13.019999499999999	-1.74
1962-07-16	17.93	-1.99	16.33	-1.56	14.37	-2.31
1962-08-16	18.4	-1.16	17.89	0.63	12.809999000000001	-2.6399999
1962-09-15	15.65	-0.98999995	13.54	-0.28	10.059999000000001	-1.0699999
1962-10-16	12.48	-0.16	8.889999000000001	-0.47	6.89	0.81
1962-11-15	5.94	-1.9499999	1.5899999	-2.8	-0.39999998	-1.42
1962-12-16	1.65	-3.59	-3.1799998	-4.66	-6.5299997	-3.97
1963-01-16	-1.76	-6.23	-6.2599998	-6.71	-8.95	-5.0299997
1963-02-14	-0.68	-5.95	-4.5	-5.83	-8.87	-5.23
1963-03-16	7.46	-0.81	3.73	-1.01	-3.53	-3.53
1963-04-15	10.719999000000001	-0.32999998	9.2	0.96999997	3.6799998	-1.16
1963-05-16	12.969999000000001	-1.74	11.36	-1.1999999	10.32	-0.35
1963-06-15	17.05	-0.78999996	15.099998999999999	-0.82	15.809999	1.05
1963-07-16	19.31	-0.61	18.46	0.57	15.95	-0.72999996
1963-08-16	16.76	-2.8	15.509998999999999	-1.75	14.71	-0.74
1963-09-15	15.769999499999999	-0.87	14.19	0.37	10.82	-0.31
1963-10-16	11.91	-0.72999996	8.67	-0.69	6.71	0.63
1963-11-15	10.17	2.28	7.6099997	3.22	0.96999997	-0.049999997000000004
1963-12-16	1.0799999	-4.16	-2.62	-4.1	-3.97	-1.41
1964-01-16	1.52	-2.95	-2.85	-3.3	-2.72	1.1999999
1964-02-15	6.52	1.25	2.1	0.77	-3.53	0.11
1964-03-16	5.87	-2.3999999	2.4099998	-2.33	-0.63	-0.63
1964-04-15	10.67	-0.38	9.22	0.98999995	5.42	0.58
1964-05-16	16.14	1.43	13.929998999999999	1.37	11.099999	0.42999998
1964-06-15	17.47	-0.37	16.82	0.9	12.94	-1.8199999
1964-07-16	20.13	0.21	19.48	1.5899999	14.049999	-2.6299999
1964-08-16	19.32	-0.24	16.55	-0.71	14.469999	-0.97999996
1964-09-15	17.67	1.03	14.519999499999999	0.7	10.42	-0.71
1964-10-16	10.059999000000001	-2.58	7.3399997	-2.02	5.33	-0.75
1964-11-15	7.75	-0.14	4.7	0.31	1.01	-0.01
1964-12-16	3.4099998	-1.8299999	0.09999999400000001	-1.38	-3.1499999	-0.59
1965-01-16	4.21	-0.26	1.23	0.78	-3.21	0.71
1965-02-14	2.58	-2.69	-2.84	-4.17	-2.23	1.41
1965-03-16	7.9199996	-0.35	3.76	-0.97999996	-0.95	-0.95
1965-04-15	10.23	-0.82	6.6299996	-1.5999999	4.39	-0.45
1965-05-16	13.969999	-0.74	11.32	-1.24	8.86	-1.81
1965-06-15	17.31	-0.53	15.87	-0.049999997000000004	13.92	-0.84
1965-07-16	16.93	-2.99	15.559999	-2.33	14.07	-2.61
1965-08-16	17.76	-1.8	15.73	-1.53	13.62	-1.8299999
1965-09-15	14.4	-2.24	11.87	-1.9499999	11.55	0.42
1965-10-16	12.519999499999999	-0.12	8.29	-1.0699999	6.8799996	0.79999995
1965-11-15	6.45	-1.4399998999999999	3.1699998	-1.22	-2.82	-3.84
1965-12-16	6.7	1.4599999	3.53	2.05	-7.3199997	-4.7599998
1966-01-16	2.09	-2.3799999	-2.44	-2.8899999	-8.33	-4.41
1966-02-14	8.92	3.6499998999999996	6.25	4.92	-10.23	-6.5899997
1966-03-16	7.54	-0.72999996	3.1799998	-1.56	-0.42999998	-0.42999998
1966-04-15	11.99	0.94	9.809999000000001	1.5799999	1.05	-3.79
1966-05-16	13.83	-0.88	13.0	0.44	9.28	-1.39
1966-06-15	18.77	0.93	16.46	0.53999996	16.81	2.05
1966-07-16	17.74	-2.18	15.389999	-2.5	16.539998999999998	-0.14
1966-08-16	17.81	-1.75	15.28	-1.9799999	14.49	-0.96
1966-09-15	16.9	0.26	14.37	0.55	10.73	-0.39999998
1966-10-16	13.07	0.42999998	11.57	2.21	5.5299997	-0.55
1966-11-15	5.81	-2.08	1.62	-2.77	1.66	0.64
1966-12-16	6.52	1.28	2.08	0.59999996	-2.76	-0.19999999
1967-01-16	4.41	-0.06	0.64	0.19	-7.759999799999999	-3.84
1967-02-14	6.97	1.6999999	2.86	1.53	-3.07	0.57
1967-03-16	8.769999499999999	0.5	5.5299997	0.78999996	2.1499999	2.1499999
1967-04-15	9.67	-1.38	6.97	-1.26	4.0699997	-0.77
1967-05-16	13.48	-1.23	12.21	-0.35	8.75	-1.92
1967-06-15	16.42	-1.42	14.769999499999999	-1.15	14.25	-0.51
1967-07-16	20.91	0.98999995	19.31	1.42	16.039998999999998	-0.64
1967-08-16	18.65	-0.90999997	16.66	-0.59999996	15.62	0.17
1967-09-15	16.14	-0.5	13.38	-0.44	11.92	0.78999996
1967-10-16	13.7	1.06	11.83	2.47	6.67	0.59
1967-11-15	6.8999996	-0.98999995	3.9599998	-0.42999998	3.1799998	2.1599998
1967-12-16	4.02	-1.22	-1.14	-2.62	-4.14	-1.5799999
1968-01-16	4.39	-0.08	-0.45999998	-0.90999997	-7.02	-3.1
1968-02-15	4.3399997	-0.93	2.1499999	0.82	-5.5	-1.86
1968-03-16	8.12	-0.14999999	4.6	-0.14	0.5	0.5
1968-04-15	11.03	-0.02	9.2	0.96999997	6.1099997	1.27
1968-05-16	12.44	-2.27	10.96	-1.5999999	8.809999000000001	-1.86
1968-06-15	16.94	-0.9	15.429998999999999	-0.48999998	16.06	1.3
1968-07-16	18.38	-1.54	16.77	-1.12	15.719999	-0.96
1968-08-16	18.369999	-1.1899998999999999	15.469999	-1.79	16.31	0.85999995
1968-09-15	16.119999	-0.52	12.82	-1.0	11.94	0.81
1968-10-16	14.059999	1.42	10.95	1.5899999	4.7999997	-1.28
1968-11-15	6.3199997	-1.5699999	3.6599998	-0.72999996	-2.25	-3.27
1968-12-16	2.34	-2.8999999	-0.62	-2.1	-4.36	-1.8
1969-01-16	5.97	1.5	1.4499999	1.0	-3.3899998999999994	0.53
1969-02-14	3.1299999	-2.1399999	-1.2099999	-2.54	-7.87	-4.23
1969-03-16	7.5299997	-0.74	3.56	-1.18	-3.4299998	-3.4299998
1969-04-15	10.65	-0.39999998	7.2	-1.03	3.9599998	-0.88
1969-05-16	14.549999	-0.16	13.16	0.59999996	9.91	-0.76
1969-06-15	16.4	-1.4399998999999999	13.87	-2.05	17.3	2.54
1969-07-16	20.32	0.39999998	18.529999	0.64	16.66	-0.02
1969-08-16	18.82	-0.74	16.27	-0.98999995	18.39	2.9399998
1969-09-15	17.109999	0.47	14.44	0.62	11.78	0.65
1969-10-16	14.009998999999999	1.37	9.74	0.38	7.14	1.06
1969-11-15	7.81	-0.08	5.0699997	0.68	-1.7099999	-2.73
1969-12-16	1.51	-3.73	-3.6599998	-5.14	-4.66	-2.1
1970-01-16	4.8199997	0.35	-0.06	-0.51	-7.8599997	-3.9399998
1970-02-14	5.13	-0.14	0.75	-0.58	-11.04	-7.3999996
1970-03-16	5.06	-3.21	1.5799999	-3.1599998	-1.7199999	-1.7199999
1970-04-15	8.61	-2.44	5.5899997	-2.6399999	2.0	-2.84
1970-05-16	14.75	0.04	11.09	-1.4699999	11.36	0.69
1970-06-15	19.1	1.26	16.92	1.0	18.06	3.3
1970-07-16	18.289998999999998	-1.63	16.65	-1.24	14.139999	-2.54
1970-08-16	19.14	-0.42	17.24	-0.02	16.06	0.61
1970-09-15	17.64	1.0	14.15	0.32999998	10.389999000000001	-0.74
1970-10-16	12.29	-0.35	8.74	-0.62	6.1	0.02
1970-11-15	9.28	1.39	6.43	2.04	-1.04	-2.06
1970-12-16	3.24	-2.0	-0.63	-2.11	-1.5899999	0.96999997
1971-01-16	4.12	-0.35	-0.45999998	-0.90999997	-2.6699998	1.25
1971-02-14	5.43	0.16	0.53999996	-0.78999996	-0.91999996	2.72
1971-03-16	4.98	-3.29	0.72999996	-4.0099998	-2.22	-2.22
1971-04-15	11.87	0.82	10.309999000000001	2.08	4.31	-0.53
1971-05-16	16.0	1.29	14.19	1.63	11.099999	0.42999998
1971-06-15	15.82	-2.02	13.79	-2.1299999	14.04	-0.71999997
1971-07-16	20.46	0.53999996	19.029999	1.14	16.57	-0.11
1971-08-16	18.9	-0.65999997	18.05	0.78999996	14.65	-0.79999995
1971-09-15	16.59	-0.049999997000000004	13.08	-0.74	10.96	-0.17
1971-10-16	12.63	-0.01	10.25	0.89	6.759999799999999	0.68
1971-11-15	6.39	-1.5	2.8799999	-1.51	-1.17	-2.19
1971-12-16	5.17	-0.07	2.4299998	0.95	0.34	2.8999999
1972-01-16	3.54	-0.93	-0.47	-0.91999996	-6.47	-2.55
1972-02-15	6.2	0.93	3.06	1.73	-3.24	0.39999998
1972-03-16	9.769999499999999	1.5	6.39	1.65	-0.45999998	-0.45999998
1972-04-15	10.21	-0.84	7.3599997	-0.87	4.38	-0.45999998
1972-05-16	13.019999499999999	-1.6899998999999999	10.86	-1.6999999	10.91	0.24
1972-06-15	14.87	-2.97	14.03	-1.89	14.07	-0.69
1972-07-16	19.06	-0.85999995	17.029999	-0.85999995	17.9	1.22
1972-08-16	17.73	-1.8299999	15.99	-1.27	14.5	-0.95
1972-09-15	14.019999499999999	-2.62	10.7	-3.12	9.76	-1.37
1972-10-16	11.58	-1.06	7.49	-1.87	6.3999996	0.32
1972-11-15	7.83	-0.06	4.67	0.28	1.1999999	0.17999999
1972-12-16	5.18	-0.06	-0.21	-1.6899998999999999	1.5699999	4.13
1973-01-16	3.74	-0.72999996	-1.18	-1.63	-0.37	3.55
1973-02-14	4.37	-0.9	0.01	-1.3199999	-0.78999996	2.85
1973-03-16	7.56	-0.71	3.46	-1.28	2.85	2.85
1973-04-15	9.139999000000001	-1.91	5.15	-3.08	3.62	-1.22
1973-05-16	14.38	-0.32999998	13.49	0.93	10.059999000000001	-0.61
1973-06-15	18.369999	0.53	16.41	0.48999998	15.54	0.78
1973-07-16	18.859999	-1.06	16.93	-0.96	18.13	1.4499999
1973-08-16	21.3	1.74	18.69	1.43	14.549999	-0.9
1973-09-15	17.8	1.16	15.2	1.38	9.82	-1.31
1973-10-16	11.58	-1.06	7.759999799999999	-1.5999999	3.37	-2.71
1973-11-15	7.1299996	-0.76	3.97	-0.42	-1.0799999	-2.1
1973-12-16	4.7	-0.53999996	-0.04	-1.52	-2.82	-0.26
1974-01-16	7.509999799999999	3.04	3.9499998	3.5	-0.28	3.6399998999999994
1974-02-14	6.2	0.93	3.25	1.92	-0.14999999	3.49
1974-03-16	8.139999000000001	-0.13	6.43	1.6899998999999999	1.1999999	1.1999999
1974-04-15	11.32	0.26999998	8.53	0.29999998	7.35	2.51
1974-05-16	13.519999499999999	-1.1899998999999999	11.349999	-1.2099999	11.25	0.58
1974-06-15	17.1	-0.74	14.259998999999999	-1.66	14.75	-0.01
1974-07-16	18.25	-1.67	16.52	-1.37	14.87	-1.81
1974-08-16	19.51	-0.049999997000000004	17.9	0.64	15.019999499999999	-0.42999998
1974-09-15	15.049999	-1.5899999	13.5	-0.32	11.32	0.19
1974-10-16	8.78	-3.86	4.23	-5.13	4.5499997	-1.53
1974-11-15	8.46	0.57	4.92	0.53	1.1899998999999999	0.17
1974-12-16	8.36	3.12	4.44	2.96	-0.93	1.63
1975-01-16	7.66	3.1899998	4.22	3.77	-0.19	3.73
1975-02-14	6.74	1.4699999	2.47	1.14	-3.6999998	-0.06
1975-03-16	6.0899997	-2.18	3.33	-1.41	0.17999999	0.17999999
1975-04-15	10.34	-0.71	7.6699996	-0.56	3.9099998	-0.93
1975-05-16	12.82	-1.89	11.91	-0.65	11.0	0.32999998
1975-06-15	16.89	-0.95	14.4	-1.52	14.24	-0.52
1975-07-16	20.01	0.089999996	18.039998999999998	0.14999999	17.859999	1.18
1975-08-16	21.65	2.09	18.43	1.17	18.24	2.79
1975-09-15	16.85	0.21	15.71	1.89	11.75	0.62
1975-10-16	10.42	-2.22	7.5699997	-1.79	6.99	0.90999997
1975-11-15	7.3199997	-0.57	4.0099998	-0.38	2.25	1.23
1975-12-16	3.3899998999999994	-1.8499999	-0.26	-1.74	0.47	3.03
1976-01-16	5.49	1.02	0.79999995	0.35	-4.94	-1.02
1976-02-15	5.4	0.13	1.38	0.049999997000000004	-2.6399999	1.0
1976-03-16	6.7	-1.5699999	3.34	-1.4	-1.86	-1.86
1976-04-15	10.349999	-0.7	8.03	-0.19999999	4.52	-0.32
1976-05-16	15.82	1.11	13.57	1.01	11.179999	0.51
1976-06-15	21.38	3.54	18.9	2.98	15.45	0.69
1976-07-16	22.26	2.34	19.279999	1.39	18.01	1.3299999
1976-08-16	20.699999	1.14	16.08	-1.18	17.69	2.24
1976-09-15	15.66	-0.97999996	12.67	-1.15	9.41	-1.7199999
1976-10-16	13.28	0.64	10.219999000000001	0.85999995	4.66	-1.42
1976-11-15	7.6	-0.29	4.46	0.07	0.48	-0.53999996
1976-12-16	3.1599998	-2.08	-1.03	-2.51	-4.58	-2.02
1977-01-16	4.6	0.13	1.1999999	0.75	-4.67	-0.75
1977-02-14	7.49	2.22	4.56	3.23	-6.02	-2.3799999
1977-03-16	9.61	1.3399999	7.3799996	2.6399999	0.37	0.37
1977-04-15	9.269999499999999	-1.78	5.99	-2.24	2.08	-2.76
1977-05-16	13.549999	-1.16	11.679999	-0.88	10.94	0.26999998
1977-06-15	15.69	-2.1499999	14.91	-1.01	15.03	0.26999998
1977-07-16	18.73	-1.1899998999999999	16.859999	-1.03	16.109999	-0.57
1977-08-16	17.71	-1.8499999	15.74	-1.52	15.29	-0.16
1977-09-15	15.089998999999999	-1.55	12.33	-1.49	10.11	-1.02
1977-10-16	13.84	1.1999999	10.429999	1.0699999	6.94	0.85999995
1977-11-15	7.95	0.06	4.72	0.32999998	1.5699999	0.55
1977-12-16	6.6	1.36	1.88	0.39999998	-2.27	0.29
1978-01-16	3.76	-0.71	0.65999997	0.21	-2.69	1.23
1978-02-14	3.6499998999999996	-1.62	-0.11	-1.4399998999999999	-7.22	-3.58
1978-03-16	8.429999	0.16	5.2	0.45999998	-1.66	-1.66
1978-04-15	9.01	-2.04	7.1	-1.13	3.54	-1.3
1978-05-16	13.809999	-0.9	10.95	-1.61	11.17	0.5
1978-06-15	15.889999	-1.9499999	14.42	-1.5	15.78	1.02
1978-07-16	17.66	-2.26	16.18	-1.7099999	14.86	-1.8199999
1978-08-16	17.24	-2.32	15.13	-2.1299999	14.63	-0.82
1978-09-15	16.029999	-0.61	12.84	-0.97999996	8.9	-2.23
1978-10-16	12.88	0.24	8.61	-0.75	6.2599998	0.17999999
1978-11-15	6.8199997	-1.0699999	3.1999998	-1.1899998999999999	3.55	2.53
1978-12-16	5.66	0.42	2.07	0.59	-8.23	-5.67
1979-01-16	-0.32	-4.79	-3.27	-3.72	-8.099999	-4.18
1979-02-14	3.62	-1.65	1.38	0.049999997000000004	-6.72	-3.08
1979-03-16	7.08	-1.1899998999999999	4.9	0.16	-0.78999996	-0.78999996
1979-04-15	9.65	-1.4	6.22	-2.01	3.57	-1.27
1979-05-16	13.53	-1.18	11.929999	-0.63	8.179999	-2.49
1979-06-15	17.15	-0.69	16.279999	0.35999998	15.53	0.77
1979-07-16	18.8	-1.12	16.94	-0.95	15.19	-1.49
1979-08-16	17.68	-1.88	15.179998999999999	-2.08	13.73	-1.7199999
1979-09-15	16.279999	-0.35999998	13.88	0.06	10.429999	-0.7
1979-10-16	13.049999	0.41	10.37	1.01	4.49	-1.5899999
1979-11-15	7.58	-0.31	4.14	-0.25	-0.45999998	-1.48
1979-12-16	6.74	1.5	4.22	2.74	-3.82	-1.26
1980-01-16	2.12	-2.35	-0.93	-1.38	-6.8199997	-2.8999999
1980-02-15	7.14	1.87	3.35	2.02	-7.6499996	-4.0099998
1980-03-16	6.94	-1.3299999	4.58	-0.16	-2.52	-2.52
1980-04-15	9.91	-1.14	6.06	-2.1699998	5.18	0.34
1980-05-16	13.53	-1.18	10.95	-1.61	11.679999	1.01
1980-06-15	16.15	-1.6899998999999999	13.929998999999999	-1.99	15.65	0.89
1980-07-16	17.17	-2.75	14.91	-2.98	17.01	0.32999998
1980-08-16	19.59	0.03	17.47	0.21	14.92	-0.53
1980-09-15	17.529999	0.89	14.78	0.96	11.65	0.52
1980-10-16	11.309999000000001	-1.3299999	8.179999	-1.18	4.3399997	-1.74
1980-11-15	6.08	-1.81	2.9199998	-1.4699999	-2.07	-3.09
1980-12-16	4.24	-1.0	-0.19	-1.67	-1.5899999	0.96999997
1981-01-16	4.94	0.47	-1.8199999	-2.27	-4.13	-0.21
